keyword,search_volume,keyword_difficulty,cpc,intent,funnel_stage,serp_features,content_format_needed,mapped_feature_ids,mapped_blog_slugs,cluster_id,content_type,priority,status,last_updated,source,notes
chatgpt workspaces,0,0,0,informational,awareness,,,"feat_isolated_workspaces,feat_unlimited_nested_folders",,tc_chatgpt_workspaces,pillar,high,planned,2026-03-27,seed,Primary topic — pillar keyword
chatgpt chrome extension,0,0,0,commercial_investigation,awareness,,,"feat_chrome_extension",best-chatgpt-chrome-extensions-2026,tc_chatgpt_extensions,pillar,high,published,2026-03-27,seed,Primary topic — existing blog covers this
ai productivity tools,0,0,0,informational,awareness,,,,,tc_ai_productivity,pillar,high,planned,2026-03-27,seed,Primary topic — pillar keyword
prompt management,0,0,0,informational,awareness,,,"feat_prompt_library,feat_template_variables,feat_prompt_chains",,tc_prompt_management,pillar,high,planned,2026-03-27,seed,Primary topic — pillar keyword
best chatgpt chrome extensions 2026,0,0,0,commercial_investigation,consideration,,,"feat_chrome_extension",best-chatgpt-chrome-extensions-2026,tc_chatgpt_extensions,cluster,high,published,2026-03-27,seed,Existing blog targeting this
ai workspace pro vs superpower chatgpt,0,0,0,commercial_investigation,consideration,,,"feat_isolated_workspaces,feat_thread_trimming,feat_text_highlighting",ai-workspace-vs-superpower-chatgpt-workspaces,tc_chatgpt_extensions,cluster,high,published,2026-03-27,seed,Existing comparison blog
ai workspace pro vs sider,0,0,0,commercial_investigation,consideration,,,"feat_isolated_workspaces,feat_local_first_storage",,tc_chatgpt_extensions,cluster,high,planned,2026-03-27,seed,No blog yet — high priority comparison
ai workspace pro vs chatgpt toolbox,0,0,0,commercial_investigation,consideration,,,"feat_isolated_workspaces",,tc_chatgpt_extensions,cluster,medium,planned,2026-03-27,seed,No blog yet — competitor comparison
superpower chatgpt alternative,0,0,0,commercial_investigation,consideration,,,"feat_isolated_workspaces,feat_local_first_storage",ai-workspace-vs-superpower-chatgpt-workspaces,tc_chatgpt_extensions,cluster,high,published,2026-03-27,seed,Partially covered by existing comparison
sider alternative,0,0,0,commercial_investigation,consideration,,,"feat_isolated_workspaces,feat_local_first_storage",,tc_chatgpt_extensions,cluster,high,planned,2026-03-27,seed,Target with vs Sider blog
how to organize chatgpt conversations,0,0,0,informational,awareness,,,"feat_unlimited_nested_folders,feat_multi_tag_system,feat_bulk_operations",organize-500-plus-chatgpt-conversations,tc_chatgpt_workspaces,cluster,medium,published,2026-03-27,seed,Existing blog covers this
chatgpt prompt library,0,0,0,informational,awareness,,,"feat_prompt_library,feat_quick_slash_access,feat_template_variables",,tc_prompt_management,cluster,high,planned,2026-03-27,seed,No dedicated blog yet
chatgpt conversation branches,0,0,0,informational,awareness,,,"feat_tangent_view",tangent-view-chatgpt-branching-graph,tc_chatgpt_workspaces,cluster,medium,published,2026-03-27,seed,Existing blog covers this
chatgpt thread trimming,0,0,0,informational,awareness,,,"feat_thread_trimming",smart-thread-hiding-chatgpt-lag-fix,tc_ai_productivity,cluster,medium,published,2026-03-27,seed,Existing blog covers this
chatgpt text highlighting extension,0,0,0,informational,awareness,,,"feat_text_highlighting",master-chatgpt-with-smart-highlights,tc_ai_productivity,cluster,medium,published,2026-03-27,seed,Existing blog covers this
chatgpt image gallery extension,0,0,0,informational,awareness,,,"feat_image_gallery,feat_bulk_image_download",chatgpt-image-gallery-complete-history-uploaded-generated-images,tc_ai_productivity,cluster,medium,published,2026-03-27,seed,Existing blog covers this
chatgpt workspace extension,0,0,0,commercial_investigation,consideration,,,"feat_isolated_workspaces,feat_chrome_extension",,tc_chatgpt_workspaces,cluster,high,planned,2026-03-27,seed,High-intent keyword
organize ai conversations,0,0,0,informational,awareness,,,"feat_unlimited_nested_folders,feat_multi_tag_system",organize-500-plus-chatgpt-conversations,tc_chatgpt_workspaces,cluster,medium,published,2026-03-27,seed,Partially covered
chatgpt for freelancers,0,0,0,informational,awareness,,,,,tc_ai_productivity,cluster,medium,planned,2026-03-27,seed,Landing page exists but no blog
chatgpt for agencies,0,0,0,informational,awareness,,,,,tc_ai_productivity,cluster,medium,planned,2026-03-27,seed,Landing page exists but no blog
ai workspace pro review,0,0,0,commercial_investigation,decision,,,,,,standalone,medium,planned,2026-03-27,seed,Review-intent keyword
chatgpt productivity extension,0,0,0,commercial_investigation,consideration,,,"feat_thread_trimming,feat_smart_conversation_outline",,tc_ai_productivity,cluster,medium,planned,2026-03-27,seed,
prompt management tool,0,0,0,commercial_investigation,consideration,,,"feat_prompt_library,feat_template_variables,feat_prompt_chains",,tc_prompt_management,cluster,medium,planned,2026-03-27,seed,
chatgpt context separation,0,0,0,informational,awareness,,,"feat_isolated_workspaces,feat_aes256_encryption",,tc_chatgpt_workspaces,cluster,medium,planned,2026-03-27,seed,
reference previous chatgpt conversations,0,0,0,informational,awareness,,,"feat_reference_chats",reference-chat-context-feature,tc_chatgpt_workspaces,cluster,low,published,2026-03-27,seed,Existing blog covers this
chatgpt prompt templates,0,0,0,informational,awareness,,,"feat_template_variables,feat_prompt_library",,tc_prompt_management,cluster,medium,planned,2026-03-27,seed,
